folks 0.15.9-1
fontconfig 2:2.16.0-2
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-1
foomatic-db-gutenprint-ppds 5.3.4-3
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
fprintd 1.94.4-1
fragments 3.0.1-2
freeglut 3.6.0-1
freerdp 2:3.11.0-1
freetype2 2.13.3-3
fribidi 1.0.16-1
ftgl 2.4.0-3
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fwupd 2.0.5-1
fwupd-efi 1.7-1
fzf 0.57.0-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r730+gc061ad5a36ba-1
gcc-libs 14.2.1+r730+gc061ad5a36ba-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
gdm 47.0-2
gdm-settings 5.0-4
gegl 0.4.52-2
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.23.1-2
ghostscript 10.04.0-1
giflib 5.2.2-1
gimp 2.10.38-5
gimp-calendar 1.0-1
girara 0.4.5-1
git 2.48.1-1
github-cli 2.66.1-1
gjs 2:1.82.1-2
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.82.4-2
glib2-devel 2.82.4-2
glibc 2.41+r2+g0a7c7a3e283a-1
glibc-locales 2.41+r2+g0a7c7a3e283a-1
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glm 1.0.1-1
glslang 15.1.0-1
glu 9.0.3-2
glycin 1.1.4-1
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-backgrounds 47.0-1
gnome-bluetooth-3.0 47.1-1
gnome-boxes 47.0-1
gnome-browser-connector 42.1-7
gnome-calculator 47.1-1
gnome-characters 47.0-1
gnome-chess 47.0-1
gnome-clocks 47.0-1
gnome-color-manager 3.36.2-1
gnome-connections 47.2.1-1
gnome-contacts 47.1.1-1
gnome-control-center 47.4-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-1
gnome-firmware 47.0-1
gnome-font-viewer 47.0-1
gnome-keybindings 47.4-1
gnome-keyring 1:46.2-1
gnome-layout-switcher 0.8.39-2
gnome-logs 45.0-1
gnome-maps 47.4-1
gnome-menus 3.36.0-3
gnome-mines 40.1-3
gnome-online-accounts 3.52.3.1-1
gnome-remote-desktop 47.3-1
gnome-session 47.0.1-1
gnome-settings-daemon 47.2-1
gnome-shell 1:47.4-1
gnome-shell-extension-appindicator 1:59-1
gnome-shell-extension-arc-menu 64-1
gnome-shell-extension-dash-to-dock 100-1
gnome-shell-extension-dash-to-panel 65-1
gnome-shell-extension-forge 84-1
gnome-shell-extension-gnome-ui-tune 1.10.0-1
gnome-shell-extension-gsconnect 58-1
gnome-shell-extension-gtk4-desktop-icons-ng 1:92-1
gnome-shell-extension-legacy-theme-auto-switcher r23.dbffe84-1
gnome-shell-extension-space-bar 32-1
gnome-shell-extension-x11gestures 24-1
gnome-shell-extensions 47.4-1
gnome-system-monitor 47.1-1
gnome-terminal 3.54.3-1
gnome-text-editor 47.3-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-tour 47.0-2
gnome-tweaks 46.1-2
gnome-user-docs 47.2-1
gnome-user-share 47.2-1
gnome-weather 47.0-1
gnu-netcat 0.7.1-10
gnuchess 6.2.9-3
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.8-1
go 2:1.23.6-1
gobject-introspection 1.82.0-2
gobject-introspection-runtime 1.82.0-2
gom 0.5.3-2
google-chrome 133.0.6943.126-1
gperftools 2.16-1
gpgme 1.24.1-3
gpm 1.20.7.r38.ge82d1a6-6
granite 1:6.2.0-1
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16-1
grim 1.4.1-2
grimblast-git r112.d7c5514-1
groff 1.23.0-7
grub 2:2.12-3
grub-btrfs 4.13-2
grub-theme-manjaro 20.2-16
gsettings-desktop-schemas 47.1-2
gsettings-system-schemas 47.1-2
gsfonts 20200910-4
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-1
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-devtools-libs 1.24.12-1
gst-editing-services 1.24.12-1
gst-libav 1.24.12-1
gst-plugin-gtk 1.24.12-1
gst-plugin-gtk4 0.13.4-1
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad 1.24.12-1
gst-plugins-bad-libs 1.24.12-1
gst-plugins-base 1.24.12-1
gst-plugins-base-libs 1.24.12-1
gst-plugins-good 1.24.12-1
gst-plugins-ugly 1.24.12-1
gst-python 1.24.12-1
gstreamer 1.24.12-1
gtest 1.15.2-1
gthumb 3.12.6-4
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.12-1
gtk-vnc 1.4.0-2
gtk2 2.24.33-5
gtk3 1:3.24.43-4.1
gtk4 1:4.16.12-1
gtk4-layer-shell 1.0.4-1
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview-pkgbuild 5-3
gtksourceview4 4.8.4-1
gtksourceview5 5.14.2-1
gufw 24.04-3
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-av 0.14.3-1
gupnp-dlna 0.12.0-3
gupnp-igd 1.6.0-1
gutenprint 5.3.4-3
gvfs 1.56.1-2
gvfs-afc 1.56.1-2
gvfs-dnssd 1.56.1-2
gvfs-goa 1.56.1-2
gvfs-google 1.56.1-2
gvfs-gphoto2 1.56.1-2
gvfs-mtp 1.56.1-2
gvfs-nfs 1.56.1-2
gvfs-onedrive 1.56.1-2
gvfs-smb 1.56.1-2
gvfs-wsdd 1.56.1-2
gzip 1.13-4
harfbuzz 10.2.0-1
harfbuzz-icu 10.2.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.392-1
hwinfo 23.3-1
hyde-cli-git v0.6.0.r26.2f32ed1-1
hyphen 2.8.8-6
hyprcursor 0.1.11-3
hyprgraphics 0.1.2-1
hyprland 0.47.2-1
hyprland-qt-support 0.1.0-4
hyprland-qtutils 0.1.3-4
hyprlang 0.6.0-5
hyprpicker 0.4.2-3
hyprutils 0.5.0-1
hyprwayland-scanner 0.4.4-1
iagno 3.38.1+r57+gd147e1a-2
iana-etc 20241206-1
ibus 1.5.31-2
icu 75.1-2
iio-sensor-proxy 3.6-1
ijs 0.35-6
imagemagick 7.1.1.43-1
imath 3.1.12-2
imlib2 1.12.3-2
inetutils 2.5-1
iniparser 4.2.5-1
install-grub 2:2.12-3
intel-ucode 20241112-1
inxi 3.3.37.1-1
iproute2 6.13.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
iw 6.9-1
jansson 2.14-4
jasper 4.2.4-2
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
